Names,Website,Phone Number,Address,Review Count,Average Review Count,Opens At
Herzog Apotheke,https://herzog-apotheke-wiesloch.de,06222 6796799,"Güterstraße 1, 69168 Wiesloch",271,4.8, Schließt um 20:00
VitalWelt Apotheke,,07252 965630,"Pforzheimer Str. 46, 75015 Bretten",67,3.9,
Schloss Apotheke Eichtersheim,https://schloss-apotheke-angelbachtal.de,07265 219,"Friedrich-Hecker-Straße 1, 74918 Angelbachtal",26,4.8, Schließt um 19:00
SchlossGarten-Apotheke,https://schlossgarten-apotheke.de,07265 911353,"Wilhelmstraße 2, 74918 Angelbachtal",138,4.8,
Apotheke Mühlhausen,https://apothekemuehlhausen.de,06222 64346,"Hauptstraße 58, 69242 Mühlhausen",138,4.4, Schließt um 12:30
Angelbach Apotheke,https://angelbach-apotheke.de,06222 64275,"Hauptstraße 89, 69242 Mühlhausen",18,4.7,
Kullmers Central-Apotheke Sinsheim,https://kullmer-apotheke.de,07261 94890,"Hauptstraße 108, 74889 Sinsheim",27,3.3, Schließt um 13:00 
Privilegierte Apotheke,https://privilegierteapotheke.de,07259 8877,"Nibelungenstraße 26, 76684 Östringen",27,4.4,
Kur-Apotheke im Ärztehaus,https://kurapo-aerztehaus.de,07253 8022937,"Kraichgaustraße 13, 76669 Bad Schönborn",24,4.6, Schließt um 12:30 
St. Ulrich-Apotheke,https://st-ulrich-apotheke-oestringen.de,07253 27272,"Georg-Friedrich-Händel-Straße 1, 76684 Östringen",24,4.6,
Steinsberg-Apotheke,https://steinsberg-apotheke.de,07261 2040,"Rohräckerstraße 2, 74889 Sinsheim",53,4.5, Schließt um 12:30
Stadt-Apotheke Sinsheim,https://stadt-apotheke-sinsheim.de,07261 4360,"Hauptstraße 53-55, 74889 Sinsheim",31,4.4,
Kurpfalz Apotheke,https://kurpfalzapotheke-sinsheim.de,07261 13427,"Schlesienstraße 2, 74889 Sinsheim",29,4.3, Schließt um 18:30
Apotheke Baiertal,https://apotheke-baiertal.de,06222 73600,"Mühlstraße 3, 69168 Wiesloch",29,4.4,
Apotheke Baiertal,https://apotheke-baiertal.de,06222 73600,"Mühlstraße 3, 69168 Wiesloch",23,4.4, Schließt um 13:00
Apotheke Baiertal,https://apotheke-baiertal.de,06222 73600,"Mühlstraße 3, 69168 Wiesloch",23,4.4,
Trauben-Apotheke Rauenberg,https://trauben-apo.de,06222 62726,"Hauptstraße 1a, 69231 Rauenberg",23,4.4, Schließt um 13:00 
Schäfer Apotheke,https://schaeferapotheke.de,07262 4393,"Brettener Str. 34, 75031 Eppingen",55,4.7,
Herzog Apotheke,https://herzog-apotheke-wiesloch.de,06222 6796799,"Güterstraße 1, 69168 Wiesloch",49,4.7, Schließt um 13:00 
Herzog Apotheke,https://herzog-apotheke-wiesloch.de,06222 6796799,"Güterstraße 1, 69168 Wiesloch",271,4.8,
Herzog Apotheke,https://herzog-apotheke-wiesloch.de,06222 6796799,"Güterstraße 1, 69168 Wiesloch",271,4.8, Schließt um 18:00
